"ID";"Counts";"Category"
"P:GO:0006915";14;"Biological Process"
"P:GO:0006605";14;"Biological Process"
"P:GO:0002576";14;"Biological Process"
"P:GO:0001895";14;"Biological Process"
"P:GO:0001649";14;"Biological Process"
"P:GO:0001568";14;"Biological Process"
"P:GO:0001525";14;"Biological Process"
"F:GO:0008201";14;"Molecular Function"
"F:GO:0003700";14;"Molecular Function"
"C:GO:0030424";14;"Cellular Component"
"P:GO:0051604";13;"Biological Process"
"P:GO:0050821";13;"Biological Process"
"P:GO:0044403";13;"Biological Process"
"P:GO:0030216";13;"Biological Process"
"P:GO:0022607";13;"Biological Process"
"P:GO:0007067";13;"Biological Process"
"P:GO:0006936";13;"Biological Process"
"P:GO:0006811";13;"Biological Process"
"P:GO:0000165";13;"Biological Process"
"F:GO:0098641";13;"Molecular Function"
"F:GO:0048407";13;"Molecular Function"
"F:GO:0016791";13;"Molecular Function"
"F:GO:0005215";13;"Molecular Function"
"F:GO:0005178";13;"Molecular Function"
"F:GO:0004866";13;"Molecular Function"
"F:GO:0004672";13;"Molecular Function"
"F:GO:0004252";13;"Molecular Function"
"C:GO:0031965";13;"Cellular Component"
"C:GO:0005769";13;"Cellular Component"
"P:GO:0098869";12;"Biological Process"
"P:GO:0070208";12;"Biological Process"
"P:GO:0060071";12;"Biological Process"
"P:GO:0050830";12;"Biological Process"
"P:GO:0045766";12;"Biological Process"
"P:GO:0043589";12;"Biological Process"
"P:GO:0042384";12;"Biological Process"
"P:GO:0040007";12;"Biological Process"
"P:GO:0008285";12;"Biological Process"
"P:GO:0007605";12;"Biological Process"
"P:GO:0007596";12;"Biological Process"
"P:GO:0007186";12;"Biological Process"
"P:GO:0006974";12;"Biological Process"
"P:GO:0006953";12;"Biological Process"
"F:GO:0050786";12;"Molecular Function"
"F:GO:0016779";12;"Molecular Function"
"F:GO:0016746";12;"Molecular Function"
"F:GO:0008307";12;"Molecular Function"
"F:GO:0003725";12;"Molecular Function"
"F:GO:0001071";12;"Molecular Function"
"C:GO:0045111";12;"Cellular Component"
"C:GO:0016324";12;"Cellular Component"
"C:GO:0005793";12;"Cellular Component"
"C:GO:0005584";12;"Cellular Component"
"C:GO:0000502";12;"Cellular Component"
"C:GO:0000139";12;"Cellular Component"
"P:GO:0051603";11;"Biological Process"
"P:GO:0051437";11;"Biological Process"
"P:GO:0050852";11;"Biological Process"
"P:GO:0043388";11;"Biological Process"
"P:GO:0043123";11;"Biological Process"
"P:GO:0043085";11;"Biological Process"
"P:GO:0038096";11;"Biological Process"
"P:GO:0038061";11;"Biological Process"
"P:GO:0035556";11;"Biological Process"
"P:GO:0030036";11;"Biological Process"
"P:GO:0019731";11;"Biological Process"
"P:GO:0016567";11;"Biological Process"
"P:GO:0009615";11;"Biological Process"
"P:GO:0008217";11;"Biological Process"
"P:GO:0007266";11;"Biological Process"
"P:GO:0007179";11;"Biological Process"
"P:GO:0007160";11;"Biological Process"
"P:GO:0006935";11;"Biological Process"
"P:GO:0006749";11;"Biological Process"
"P:GO:0002223";11;"Biological Process"
"P:GO:0000209";11;"Biological Process"
"F:GO:0020037";11;"Molecular Function"
"F:GO:0016810";11;"Molecular Function"
"F:GO:0002020";11;"Molecular Function"
"C:GO:1903561";11;"Cellular Component"
"C:GO:0045095";11;"Cellular Component"
"C:GO:0001725";11;"Cellular Component"
"P:GO:1901998";10;"Biological Process"
"P:GO:0051436";10;"Biological Process"
"P:GO:0051289";10;"Biological Process"
"P:GO:0046777";10;"Biological Process"
"P:GO:0045454";10;"Biological Process"
"P:GO:0043410";10;"Biological Process"
"P:GO:0031145";10;"Biological Process"
"P:GO:0030324";10;"Biological Process"
"P:GO:0030168";10;"Biological Process"
"P:GO:0018108";10;"Biological Process"
"P:GO:0008544";10;"Biological Process"
"P:GO:0007568";10;"Biological Process"
"P:GO:0007283";10;"Biological Process"
"P:GO:0006913";10;"Biological Process"
"P:GO:0006511";10;"Biological Process"
"P:GO:0006414";10;"Biological Process"
"P:GO:0001822";10;"Biological Process"
"P:GO:0000090";10;"Biological Process"
"F:GO:0052689";10;"Molecular Function"
"F:GO:0046983";10;"Molecular Function"
"F:GO:0030246";10;"Molecular Function"
"F:GO:0008083";10;"Molecular Function"
"F:GO:0008022";10;"Molecular Function"
"F:GO:0005125";10;"Molecular Function"
"F:GO:0005096";10;"Molecular Function"
"F:GO:0004364";10;"Molecular Function"
"F:GO:0003746";10;"Molecular Function"
"F:GO:0003729";10;"Molecular Function"
"F:GO:0003697";10;"Molecular Function"
"C:GO:0032587";10;"Cellular Component"
"C:GO:0030659";10;"Cellular Component"
"C:GO:0005777";10;"Cellular Component"
"C:GO:0000786";10;"Cellular Component"
"P:GO:0098779";9;"Biological Process"
"P:GO:0051276";9;"Biological Process"
"P:GO:0051092";9;"Biological Process"
"P:GO:0050776";9;"Biological Process"
"P:GO:0045742";9;"Biological Process"
"P:GO:0043588";9;"Biological Process"
"P:GO:0042493";9;"Biological Process"
"P:GO:0034976";9;"Biological Process"
"P:GO:0010976";9;"Biological Process"
"P:GO:0010468";9;"Biological Process"
"P:GO:0008380";9;"Biological Process"
"P:GO:0007015";9;"Biological Process"
"P:GO:0006956";9;"Biological Process"
"P:GO:0006897";9;"Biological Process"
"P:GO:0006364";9;"Biological Process"
"P:GO:0002230";9;"Biological Process"
"P:GO:0000398";9;"Biological Process"
"F:GO:0048306";9;"Molecular Function"
"F:GO:0042393";9;"Molecular Function"
"F:GO:0016765";9;"Molecular Function"
"F:GO:0008144";9;"Molecular Function"
"F:GO:0004869";9;"Molecular Function"
"F:GO:0000287";9;"Molecular Function"
"C:GO:0071944";9;"Cellular Component"
"C:GO:0055037";9;"Cellular Component"
"C:GO:0045202";9;"Cellular Component"
"C:GO:0043292";9;"Cellular Component"
"C:GO:0031252";9;"Cellular Component"
"C:GO:0030496";9;"Cellular Component"
"C:GO:0030018";9;"Cellular Component"
"C:GO:0016607";9;"Cellular Component"
"C:GO:0014069";9;"Cellular Component"
"C:GO:0009897";9;"Cellular Component"
"C:GO:0005938";9;"Cellular Component"
"C:GO:0000790";9;"Cellular Component"
"P:GO:0098792";8;"Biological Process"
"P:GO:0071353";8;"Biological Process"
"P:GO:0071260";8;"Biological Process"
"P:GO:0051726";8;"Biological Process"
"P:GO:0048705";8;"Biological Process"
"P:GO:0044267";8;"Biological Process"
"P:GO:0043434";8;"Biological Process"
"P:GO:0042542";8;"Biological Process"
"P:GO:0034504";8;"Biological Process"
"P:GO:0034220";8;"Biological Process"
"P:GO:0030838";8;"Biological Process"
"P:GO:0030574";8;"Biological Process"
"P:GO:0016477";8;"Biological Process"
"P:GO:0016337";8;"Biological Process"
"P:GO:0016055";8;"Biological Process"
"P:GO:0016042";8;"Biological Process"
"P:GO:0014068";8;"Biological Process"
"P:GO:0010033";8;"Biological Process"
"P:GO:0009790";8;"Biological Process"
"P:GO:0007339";8;"Biological Process"
"P:GO:0007219";8;"Biological Process"
"P:GO:0007156";8;"Biological Process"
"P:GO:0007017";8;"Biological Process"
"P:GO:0006986";8;"Biological Process"
"P:GO:0006890";8;"Biological Process"
"P:GO:0002250";8;"Biological Process"
"P:GO:0002009";8;"Biological Process"
"P:GO:0001503";8;"Biological Process"
"P:GO:0000302";8;"Biological Process"
"P:GO:0000184";8;"Biological Process"
"F:GO:0046332";8;"Molecular Function"
"F:GO:0044325";8;"Molecular Function"
"F:GO:0008237";8;"Molecular Function"
"F:GO:0008013";8;"Molecular Function"
"F:GO:0005506";8;"Molecular Function"
"F:GO:0004842";8;"Molecular Function"
"F:GO:0004175";8;"Molecular Function"
"F:GO:0004004";8;"Molecular Function"
"F:GO:0003774";8;"Molecular Function"
"F:GO:0003743";8;"Molecular Function"
"F:GO:0001786";8;"Molecular Function"
"C:GO:0043034";8;"Cellular Component"
"C:GO:0030863";8;"Cellular Component"
"C:GO:0030670";8;"Cellular Component"
"C:GO:0030426";8;"Cellular Component"
"C:GO:0016323";8;"Cellular Component"
"C:GO:0010008";8;"Cellular Component"
"C:GO:0005844";8;"Cellular Component"
"C:GO:0005802";8;"Cellular Component"
"C:GO:0005681";8;"Cellular Component"
"C:GO:0005604";8;"Cellular Component"
"C:GO:0001533";8;"Cellular Component"
"C:GO:0000788";8;"Cellular Component"
"P:GO:1900026";7;"Biological Process"
"P:GO:0071364";7;"Biological Process"
"P:GO:0071356";7;"Biological Process"
"P:GO:0070588";7;"Biological Process"
"P:GO:0051384";7;"Biological Process"
"P:GO:0051260";7;"Biological Process"
"P:GO:0050918";7;"Biological Process"
"P:GO:0050896";7;"Biological Process"
"P:GO:0050885";7;"Biological Process"
"P:GO:0050790";7;"Biological Process"
"P:GO:0050727";7;"Biological Process"
"P:GO:0048741";7;"Biological Process"
"P:GO:0048661";7;"Biological Process"
"P:GO:0048010";7;"Biological Process"
"P:GO:0045214";7;"Biological Process"
"P:GO:0043542";7;"Biological Process"
"P:GO:0043524";7;"Biological Process"
"P:GO:0043277";7;"Biological Process"
"P:GO:0043154";7;"Biological Process"
"P:GO:0032869";7;"Biological Process"
"P:GO:0032355";7;"Biological Process"
"P:GO:0031424";7;"Biological Process"
"P:GO:0030705";7;"Biological Process"
"P:GO:0030512";7;"Biological Process"
"P:GO:0030336";7;"Biological Process"
"P:GO:0030334";7;"Biological Process"
"P:GO:0019083";7;"Biological Process"
"P:GO:0016485";7;"Biological Process"
"P:GO:0009408";7;"Biological Process"
"P:GO:0007599";7;"Biological Process"
"P:GO:0007411";7;"Biological Process"
"P:GO:0007173";7;"Biological Process"
"P:GO:0007018";7;"Biological Process"
"P:GO:0006979";7;"Biological Process"
"P:GO:0006958";7;"Biological Process"
"P:GO:0006888";7;"Biological Process"
"P:GO:0006869";7;"Biological Process"
"P:GO:0006521";7;"Biological Process"
"P:GO:0006396";7;"Biological Process"
"P:GO:0006366";7;"Biological Process"
"P:GO:0006281";7;"Biological Process"
"P:GO:0006096";7;"Biological Process"
"P:GO:0002479";7;"Biological Process"
"P:GO:0002227";7;"Biological Process"
"P:GO:0000003";7;"Biological Process"
"F:GO:0097110";7;"Molecular Function"
"F:GO:0043565";7;"Molecular Function"
"F:GO:0042277";7;"Molecular Function"
"F:GO:0031072";7;"Molecular Function"
"F:GO:0030506";7;"Molecular Function"
"F:GO:0019838";7;"Molecular Function"
"F:GO:0017048";7;"Molecular Function"
"F:GO:0015631";7;"Molecular Function"
"F:GO:0008236";7;"Molecular Function"
"F:GO:0008135";7;"Molecular Function"
